hcp_id,specialty,region,tier,years_practice,scripts_monthly,rep_visits,email_opens,webinar_att,clm_sessions,eng_score,script_lift_pct,rep_spend,email_spend,webinar_spend,clm_spend,total_spend,revenue,roi,days_since_eng,cluster,segment
HCP0001,Haematologist,North,Tier2,30,14,2,1,0,1,44.3,1.5,17.9,0.7,0.0,2.6,21.2,767.5,36.2,35,0,Loyalists
HCP0002,Cardiologist,North,Tier3,17,1,0,0,0,0,0.0,-1.4,0.0,0.0,0.0,0.0,0.0,46.0,0.0,91,2,Lapsed
HCP0003,Internist,North,Tier2,8,4,4,1,1,0,81.7,2.3,40.1,0.5,3.3,0.0,43.9,203.6,4.64,43,1,Risers
HCP0004,Internist,Central,Tier1,22,17,6,2,1,2,100.0,2.8,65.9,1.5,3.0,7.2,77.6,871.5,11.23,18,3,Champions
HCP0005,Oncologist,West,Tier3,16,1,0,0,0,1,3.2,4.3,0.0,0.0,0.0,2.3,2.3,50.4,21.91,104,2,Lapsed
HCP0006,Oncologist,Central,Tier2,4,6,2,0,1,1,58.1,-1.9,16.5,0.0,3.7,2.1,22.3,309.7,13.89,35,0,Loyalists
HCP0007,Oncologist,West,Tier3,11,1,1,2,0,0,33.4,0.7,10.9,1.6,0.0,0.0,12.5,46.2,3.7,100,2,Lapsed
HCP0008,Pulmonologist,Central,Tier2,22,9,0,4,1,1,62.8,1.8,0.0,3.8,3.4,4.0,11.2,455.0,40.62,37,0,Loyalists
HCP0009,Internist,Central,Tier3,28,4,0,1,0,1,21.9,-0.3,0.0,1.0,0.0,2.7,3.7,191.5,51.76,98,2,Lapsed
HCP0010,Internist,East,Tier2,31,4,1,1,3,0,52.7,-1.6,10.7,0.5,10.5,0.0,21.7,217.6,10.03,42,1,Risers
HCP0011,Oncologist,Central,Tier3,3,1,0,0,0,0,0.5,2.5,0.0,0.0,0.0,0.0,0.0,52.6,0.0,104,2,Lapsed
HCP0012,Cardiologist,South,Tier3,8,3,1,2,0,1,35.9,1.4,11.6,1.0,0.0,3.8,16.4,164.2,10.01,101,0,Loyalists
HCP0013,Pulmonologist,East,Tier1,7,19,1,4,2,0,62.7,-1.2,11.4,2.7,8.0,0.0,22.1,862.1,39.01,19,1,Risers
HCP0014,Oncologist,Central,Tier2,35,8,1,1,2,1,54.8,1.8,10.1,0.8,6.9,3.2,21.0,382.8,18.23,34,0,Loyalists
HCP0015,Oncologist,North,Tier3,16,4,0,0,3,0,40.9,4.0,0.0,0.0,10.6,0.0,10.6,187.8,17.72,101,2,Lapsed
HCP0016,Oncologist,South,Tier2,14,5,1,3,1,1,62.4,1.0,11.5,2.8,3.3,3.1,20.7,225.6,10.9,33,0,Loyalists
HCP0017,Oncologist,South,Tier1,22,19,4,3,1,0,89.0,1.8,39.9,1.7,4.4,0.0,46.0,901.0,19.59,15,1,Risers
HCP0018,Haematologist,South,Tier2,26,12,1,0,2,2,56.6,4.0,9.3,0.0,9.1,6.7,25.1,621.5,24.76,31,0,Loyalists
HCP0019,Haematologist,East,Tier2,27,3,1,2,0,1,40.3,-1.2,11.0,1.6,0.0,3.5,16.1,141.9,8.81,36,0,Loyalists
HCP0020,Oncologist,Central,Tier3,31,2,0,1,0,0,0.0,3.6,0.0,0.8,0.0,0.0,0.8,100.2,125.25,94,2,Lapsed
HCP0021,Internist,Central,Tier2,33,10,1,2,1,1,56.6,2.8,9.6,1.3,4.5,2.5,17.9,538.8,30.1,36,0,Loyalists
HCP0022,Oncologist,North,Tier2,25,8,0,3,0,1,32.9,-1.3,0.0,2.8,0.0,2.0,4.8,415.5,86.56,42,0,Loyalists
HCP0023,Oncologist,North,Tier2,22,6,1,3,1,2,64.0,-0.2,10.9,2.9,4.9,6.2,24.9,293.7,11.8,40,0,Loyalists
HCP0024,Haematologist,South,Tier2,25,7,1,2,0,1,33.8,-0.3,9.6,1.4,0.0,3.4,14.4,341.1,23.69,30,0,Loyalists
HCP0025,Haematologist,North,Tier2,18,4,0,4,1,1,59.5,-2.8,0.0,3.8,3.4,3.6,10.8,198.2,18.35,30,0,Loyalists
HCP0026,Internist,East,Tier1,10,18,3,2,3,3,100.0,2.6,28.3,1.4,10.1,7.2,47.0,841.9,17.91,18,3,Champions
HCP0027,Oncologist,Central,Tier3,23,2,0,2,0,0,22.0,-1.5,0.0,1.7,0.0,0.0,1.7,102.7,60.41,91,2,Lapsed
HCP0028,Haematologist,South,Tier2,3,10,2,2,2,0,77.9,1.9,17.4,1.5,6.6,0.0,25.5,486.4,19.07,37,1,Risers
